search_city,name,company,state,city,salary,location,url
stuttgart,Data Scientist (m/f),Advantest,,Böblingen,,Böblingen,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4009&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8be8fcce&cb=1516812251976&jobListingId=2618753452
stuttgart,(Junior) Data Scientist (m/w),Hugo Boss  HOT,,Metzingen,,Metzingen,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_986a915a&cb=1516812251989&jobListingId=2595719743
stuttgart,(Senior) Data Scientist - CarIT Analytics (m/w),Daimler TSS GmbH,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=114106&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7d5c4adf&cb=1516812251990&jobListingId=2640468747
stuttgart,Data Scientist Consultant (m/w),ACONEXT Holding,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ec5cb063&cb=1516812251991&jobListingId=2607109342
stuttgart,"(Senior) Consultant Analytics, Data Scientist (m/w)",msg systems ag,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=114109&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cb74af05&cb=1516812251992&jobListingId=2614772046
stuttgart,ANALYST CONSULTANT (M/W) DATA SCIENTIST,adesso AG,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=112006&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_93cbb729&cb=1516812251993&jobListingId=2643818645
stuttgart,Data Scientist (m/w) Automotive Powertrain Solutions,Bosch  NEU,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=82955&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a153512e&cb=1516812251995&jobListingId=2643841305
stuttgart,Technical Junior Data Analyst & Data Scientist (f/m),MHP - A Porsche Company,,Ludwigsburg,,Ludwigsburg,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=193528&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_16fab86c&cb=1516812251996&jobListingId=2389852077
stuttgart,Lead Data Scientist (f/m),DXC Technology,,Böblingen,,Böblingen,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=233837&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f15ef982&cb=1516812251997&jobListingId=2634249231
stuttgart,Data Scientist - Software Development Engineer,Micro Focus,,Böblingen,,Böblingen,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=247042&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b8dc5207&cb=1516812251998&jobListingId=2582577595
stuttgart,Data Scientist (m/w) Manufacturing/Engineering Daten,Bosch  NEU,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=82955&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_931cbe87&cb=1516812251999&jobListingId=2643858260
stuttgart,Lead Data Analyst / Data Scientist Automotive (m/w),msg systems ag,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=212547&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5ddff76e&cb=1516812252000&jobListingId=2635566395
stuttgart,Pflichtpraktikum ab Mrz 2018 im Bereich Big Data im internationalen Einkauf,Daimler AG  NEU,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=114106&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_54908953&cb=1516812252001&jobListingId=2644846253
stuttgart,Data Scientist Tax (f/m) / Stuttgart or Dsseldorf,EY,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=43297&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5cd60b2c&cb=1516812252002&jobListingId=2565093418
stuttgart,"Big Data Presales Specialist, EMEA",Informatica  NEU,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=273304&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_45deb2eb&cb=1516812252003&jobListingId=2644929846
stuttgart,Collection and Analysis of Citizen Science Data,DLR,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=4120&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f1502b7a&cb=1516812252004&jobListingId=2615866568
stuttgart,Data Scientist Automated Driving,Bosch  NEU,,Vaihingen,,Vaihingen,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=82955&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_45c13edf&cb=1516812252005&jobListingId=2643856854
stuttgart,"Praktikum ab April 2018 im Bereich Treasury Controlling, Analytics & Standards",Daimler AG,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=114107&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ae98231d&cb=1516812252009&jobListingId=2644853151
stuttgart,Mathematiker (m/w) als Data Scientist,Smart Digital,,Gerlingen,,Gerlingen,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=4120&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_899d6fbb&cb=1516812252010&jobListingId=2592191442
stuttgart,"Informatiker, Computerlinguist, Informationswissenschaftler, Data Scientist als Information Scientist - Semantic Solutions (m/w)",Boehringer Ingelheim,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=212544&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ccf40992&cb=1516812252019&jobListingId=2604104668
stuttgart,Data Analyst Online Fahrzeugkauf (m/w),Porsche,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=4120&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1aad37bc&cb=1516812252020&jobListingId=2587439510
stuttgart,Data Engineer / Big Data Architect Experte (m/w) am Standort Neu-Ulm oder Mannheim,Daimler AG  NEU,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=4120&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d9d33fa1&cb=1516812252022&jobListingId=2644203254
stuttgart,Technical Data Analyst,Chrono24,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=212544&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d53a6b48&cb=1516812252023&jobListingId=2606849808
stuttgart,Werkstudent (m/w) it Advanced Analytics (fr 12 Monate),Allianz Lebensversicherungs - AG  NEU,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=210401&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_931d682b&cb=1516812252024&jobListingId=2643310147
stuttgart,Specialist Analytics Platform & Applications (m/w),next level GmbH,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=70759&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3f23ee59&cb=1516812252025&jobListingId=2644055556
stuttgart,(Senior) Consultant/Manager (w/m) Forensic Data Analytics,PERSICON  NEU,,Stuttgart,,Stuttgart,https://www.glassdoor.com/partner/jobListing.htm?pos=130&ao=4120&s=58&guid=00000161290e32889e8c7960e17ac39f&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5216c6dc&cb=1516812252026&jobListingId=2644085632
